amt_sum,amt_max,amt_min,amt_ptp,amt_mean,amt_std
0.0,0.0,0.0,0.0,0.0,0.0
16501650.0,5500000.0,550.0,5499450.0,2750275.0,3012172.818871786
0.0,0.0,0.0,0.0,0.0,0.0
456045600.0,64000000.0,3800.0,63996200.0,25335866.666666668,27187464.37528971
16119631945.02,3079929000.0,50.0,3079928950.0,154996461.0098077,396450636.45808405
45474547.0,29600000.0,1587.0,29598413.0,11368636.75,14271572.035184337
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
25002500.0,25000000.0,2500.0,24997500.0,12501250.0,17675901.76271072
24752475.0,24750000.0,2475.0,24747525.0,12376237.5,17499142.745083615
70007000.0,70000000.0,7000.0,69993000.0,35003500.0,49492524.93559002
74520020.0,16797320.0,30000.0,16767320.0,1552500.4166666667,3254615.7295113658
20176017.4,20174000.0,2017.4,20171982.6,10088008.7,14263745.686437044
0.0,0.0,0.0,0.0,0.0,0.0
1050000.0,400000.0,50000.0,350000.0,116666.66666666667,134629.1201783626
46848684.4,36844000.0,500.0,36843500.0,7808114.066666666,14433852.419962842
135483547.0,27060000.0,1633.0,27058367.0,11290295.583333334,12047744.560532914
0.0,0.0,0.0,0.0,0.0,0.0
36678267.46,8699200.0,278.59,8698921.41,3667826.7460000003,4223670.050035615
139939700.0,8472000.0,10000.0,8462000.0,1473049.4736842106,1914931.5038510407
600060000.0,200000000.0,20000.0,199980000.0,100010000.0,109533557.04988311
0.0,0.0,0.0,0.0,0.0,0.0
105650564.0,105640000.0,10564.0,105629436.0,52825282.0,74691290.48851043
6000600.0,3000000.0,300.0,2999700.0,1500150.0,1731877.6024881203
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
839740565.6600001,280000000.0,1000.0,279999000.0,69978380.47166668,111917037.7109943
5328632400.0,5324000000.0,532400.0,5323467600.0,888105400.0,2173135682.114433
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
3979537914.0,993630000.0,26.0,993629974.0,49744223.925,142228412.78431055
1500150.0,500000.0,50.0,499950.0,250025.0,273833.8926247078
789078900.0,789000000.0,78900.0,788921100.0,394539450.0,557851459.6311504
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
204110409.0,171690000.0,3240.0,171686760.0,51027602.25,81877859.52204527
0.0,0.0,0.0,0.0,0.0,0.0
2100210.0,700000.0,70.0,699930.0,350035.0,383367.4496745909
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
167896788.0,117880000.0,5000.0,117875000.0,41974197.0,55822222.90085347
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
40004000.0,40000000.0,4000.0,39996000.0,20002000.0,28281442.820337154
951307921.28,475606400.0,2720.4,475603679.6,43241269.14909091,100221920.25521067
6000600.0,2000000.0,200.0,1999800.0,1000100.0,1095335.570498831
5270527.0,3800000.0,5.0,3799995.0,658815.875,1334091.092525591
343034300.0,343000000.0,34300.0,342965700.0,171517150.0,242513372.1843911
2174217400.0,305000000.0,100.0,304999900.0,38825310.71428572,70475184.21536808
0.0,0.0,0.0,0.0,0.0,0.0
1280000.0,800000.0,10000.0,790000.0,320000.0,380087.70917600935
21002100.0,15000000.0,600.0,14999400.0,5250525.0,7088205.0268386
10001000.0,5000000.0,500.0,4999500.0,2500250.0,2886462.670813534
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
159975996.0,140000000.0,156.0,139999844.0,19996999.5,48792789.11393412
0.0,0.0,0.0,0.0,0.0,0.0
1384638450.0,927000000.0,200.0,926999800.0,69231922.5,209742771.96707013
2000200.0,2000000.0,200.0,1999800.0,1000100.0,1414072.1410168577
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
76747674.0,66740000.0,1000.0,66739000.0,19186918.5,32050357.665397465
29772977.0,29770000.0,2977.0,29767023.0,14886488.5,21048463.81903593
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1000100.0,1000000.0,100.0,999900.0,500050.0,707036.0705084288
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
199859984.0,50400000.0,300.0,50399700.0,8327499.333333333,13043568.417213708
485368532.0,242660000.0,966.0,242659034.0,24268426.6,53750094.77295115
719141907.0,190190000.0,50.0,190189950.0,35957095.35,63102567.79952118
1633333317.0,453290000.0,270.0,453289730.0,29166666.375,72460478.7739263
124382437.0,32560000.0,900.0,32559100.0,10365203.083333334,12978249.328344513
419200.0,184600.0,4600.0,180000.0,83840.0,78823.52440737473
72507250.0,52500000.0,2000.0,52498000.0,18126812.5,24778516.944602605
62566256.0,31280000.0,3128.0,31276872.0,15641564.0,18057710.468609467
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
2952193089.79,2951897900.0,295189.79,2951602710.21,1476096544.895,2087098291.758083
89008900.0,12000000.0,500.0,11999500.0,4045859.090909091,4487456.276975918
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
9800980.0,8200000.0,80.0,8199920.0,1633496.6666666667,3240683.030632071
288628860.0,65100000.0,150.0,65099850.0,6013101.25,10645686.282274818
0.0,0.0,0.0,0.0,0.0,0.0
3000300.0,3000000.0,300.0,2999700.0,1500150.0,2121108.2115252865
599558949.9,299749500.0,29974.95,299719525.05,149889737.475,173043148.46900427
11751605000.0,2230000000.0,5000.0,2229995000.0,178054621.21212122,528613173.62940043
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
35373537.0,11790000.0,279.0,11789721.0,3537353.7,4612104.739784527
